Temperature	Mass	Normalized
426.5222	31.76673	1
426.6004	31.73602	0.991324663
426.6744	31.70896	0.983680422
426.7498	31.68204	0.976075731
426.8262	31.65526	0.968510588
426.9063	31.62866	0.960996294
426.9878	31.6026	0.953634545
427.0684	31.57671	0.946320821
427.1493	31.55104	0.939069245
427.2333	31.52549	0.931851567
427.3197	31.50022	0.924712988
427.4072	31.47522	0.917650681
427.4938	31.45055	0.910681597
427.582	31.4257	0.903661665
427.6706	31.40137	0.896788628
427.7646	31.37405	0.889070939
427.859	31.34705	0.881443648
427.9486	31.3231	0.874677959
428.04	31.29925	0.867940518
428.1299	31.27594	0.861355624
428.2213	31.2523	0.854677507
428.3124	31.22894	0.848078488
428.403	31.20604	0.841609415
428.4933	31.18306	0.835117743
428.5833	31.16008	0.828626071
428.6772	31.1371	0.822134399
428.7702	31.11453	0.815758548
428.8592	31.09262	0.809569143
428.9467	31.0707	0.803376912
429.0328	31.0485	0.797105584
429.1226	31.02648	0.790885105
429.21	31.00466	0.784721124
429.2952	30.98287	0.778565617
429.3806	30.96134	0.772483559
429.4643	30.94006	0.766472124
429.55	30.91919	0.76057651
429.6352	30.89814	0.754630048
429.7174	30.87717	0.748706185
429.8	30.85625	0.742796447
429.8816	30.83518	0.736844335
429.967	30.81178	0.730234017
430.0531	30.7885	0.723657597
430.1336	30.76806	0.717883455
430.2157	30.74784	0.712171462
430.2976	30.72769	0.706479242
430.3792	30.70752	0.700781374
430.462	30.6874	0.695097629
430.5437	30.66762	0.689509932
430.6266	30.64815	0.684009808
430.709	30.62882	0.678549233
430.7926	30.60935	0.673049108
430.8768	30.58955	0.667455762
430.9608	30.57006	0.661949988
431.045	30.55114	0.656605234
431.1296	30.53187	0.651161608
431.2164	30.5128	0.645774481
431.3034	30.49385	0.640421252
431.3902	30.47473	0.63502
431.4806	30.45608	0.62975152
431.57	30.43745	0.624488689
431.6604	30.41886	0.619237158
431.7511	30.40039	0.614019526
431.8426	30.38202	0.608830143
431.9355	30.3635	0.603598386
432.028	30.34519	0.598425953
432.1219	30.3269	0.59325917
432.2162	30.30896	0.588191259
432.3127	30.29076	0.583049899
432.4082	30.27308	0.578055436
432.5047	30.25564	0.573128771
432.6037	30.23828	0.568224706
432.703	30.22046	0.563190694
432.8015	30.20314	0.558297928
432.9022	30.18542	0.553292165
433.0034	30.168	0.54837115
433.1054	30.15078	0.543506633
433.2091	30.1338	0.538709914
433.3129	30.11672	0.533884947
433.4171	30.09988	0.529127777
433.5219	30.08294	0.524342358
433.6276	30.06596	0.519545639
433.7347	30.04918	0.514805419
433.842	30.03232	0.5100426
433.9502	30.01556	0.50530803
434.0597	29.99916	0.500675157
434.1705	29.98286	0.496070533
434.2816	29.96675	0.491519582
434.3944	29.95091	0.487044905
434.5066	29.93456	0.482426157
434.6212	29.91822	0.477810233
434.7353	29.90258	0.473392054
434.8516	29.88651	0.468852403
434.9682	29.87082	0.4644201
435.0861	29.85485	0.459908699
435.2043	29.8389	0.455402947
435.324	29.82336	0.451013017
435.4444	29.8081	0.446702185
435.5661	29.79309	0.442461977
435.6885	29.77745	0.438043798
435.8128	29.76189	0.433648218
435.9366	29.74635	0.429258288
436.0624	29.73088	0.424888133
436.1884	29.7157	0.420599901
436.3163	29.70059	0.416331443
436.445	29.68524	0.411995186
436.575	29.67002	0.407695654
436.7066	29.65514	0.403492169
436.8378	29.64046	0.399345183
436.9707	29.62596	0.395249045
437.105	29.61142	0.391141608
437.2398	29.59704	0.387079369
437.3754	29.5825	0.382971932
437.5124	29.56812	0.378909693
437.6503	29.55405	0.374935027
437.7896	29.53976	0.370898212
437.93	29.52551	0.366872698
438.0709	29.51123	0.362838708
438.2139	29.49714	0.358858392
438.3574	29.4829	0.354835703
438.5028	29.46918	0.350959909
438.647	29.4555	0.347095415
438.7954	29.44156	0.343157472
438.9426	29.42756	0.339202581
439.0911	29.41374	0.335298538
439.2411	29.40004	0.331428394
439.3914	29.38662	0.327637348
439.5438	29.3733	0.323874551
439.6979	29.36026	0.320190852
439.8514	29.3469	0.316416755
440.0056	29.33356	0.312648308
440.1619	29.32053	0.308967434
440.3238	29.30735	0.305244186
440.4871	29.29384	0.301427716
440.6461	29.28092	0.297777916
440.8066	29.2684	0.294241113
440.9694	29.2556	0.290625212
441.1358	29.24271	0.286983887
441.3045	29.23019	0.283447084
441.4704	29.21785	0.279961129
441.6388	29.20529	0.276413026
441.8063	29.19252	0.2728056
441.9805	29.17875	0.268915682
442.1554	29.16679	0.265537074
442.327	29.15628	0.262568081
442.4991	29.14428	0.259178174
442.6725	29.13264	0.255889964
442.8474	29.12077	0.25253678
443.0234	29.10885	0.249169473
443.2004	29.09705	0.245836064
443.3787	29.08551	0.242576103
443.5566	29.07385	0.239282244
443.7377	29.06288	0.236183304
443.9188	29.05196	0.233098488
444.1022	29.04088	0.229968474
444.2852	29.02968	0.226804561
444.4704	29.01885	0.223745169
444.6558	29.0085	0.220821374
444.8441	28.99792	0.217832606
445.0326	28.98748	0.214883387
445.2227	28.97721	0.211982192
445.4139	28.96713	0.20913467
445.6058	28.95752	0.206419919
445.7994	28.94732	0.203538498
445.9936	28.9374	0.200736175
446.1891	28.92852	0.198227644
446.3872	28.91947	0.195671089
446.5868	28.91053	0.193145608
446.787	28.90176	0.190668151
446.9887	28.8931	0.188221768
447.191	28.88465	0.185834708
447.396	28.87644	0.183515447
447.6038	28.86865	0.181314832
447.8111	28.8611	0.179182015
448.0198	28.854	0.17717632
448.2309	28.84726	0.175272323
448.4428	28.84086	0.173464372
448.6576	28.83428	0.171605573
448.8741	28.82817	0.169879545
449.0934	28.82282	0.168368212
449.3129	28.8179	0.16697835
449.5357	28.81304	0.165605437
449.7606	28.80832	0.164272074
449.9876	28.80432	0.163142105
450.2178	28.80024	0.161989536
450.4496	28.79647	0.160924541
450.685	28.7932	0.160000791
450.9252	28.79054	0.159249362
451.1691	28.78804	0.158543131
451.4158	28.78534	0.157780402
451.6676	28.78314	0.157158919
451.9235	28.78085	0.156512012
452.1836	28.77865	0.155890529
452.4487	28.7764	0.155254921
452.7188	28.77454	0.154729485
452.993	28.77275	0.154223824
453.2722	28.77078	0.153667315
453.556	28.76924	0.153232276
453.8455	28.76765	0.152783114
454.141	28.766	0.152317002
454.442	28.76452	0.151898913
454.749	28.7633	0.151554272
455.06	28.76169	0.15109946
455.376	28.76042	0.150740695
455.6994	28.75913	0.15037628
456.0281	28.75765	0.149958191
456.3634	28.7562	0.149548577
456.7035	28.75475	0.149138964
457.05	28.75335	0.148743474
457.4004	28.75204	0.14837341
457.7578	28.75103	0.148088092
458.1206	28.74977	0.147732152
458.4891	28.74856	0.147390337
458.8639	28.74735	0.147048521
459.2434	28.74607	0.146686931
459.6288	28.74504	0.146395964
460.0202	28.74405	0.146116296
460.4162	28.74248	0.145672784
460.8268	28.74104	0.145265995
461.2458	28.73978	0.144910054
461.6588	28.73891	0.144664286
462.0791	28.7379	0.144378969
462.5028	28.73659	0.144008904
462.9538	28.73538	0.143667089
463.409	28.73407	0.143297024
463.8484	28.73258	0.14287611
464.2907	28.73133	0.142522995
464.7387	28.73026	0.142220728
465.2028	28.72927	0.141941061
465.672	28.72796	0.141570996
466.1328	28.72637	0.141121833
466.5981	28.72478	0.140672671
467.0649	28.72385	0.140409953
467.5613	28.72272	0.140090737
468.0626	28.72171	0.139805419
468.5446	28.72032	0.139412755
469.0296	28.71892	0.139017266
469.5188	28.7177	0.138672625
470.0235	28.71668	0.138384483
470.5332	28.71506	0.137926846
471.0334	28.71368	0.137537006
471.5396	28.71258	0.137226265
472.0489	28.71157	0.136940948
472.5611	28.71025	0.136568058
473.0758	28.70863	0.136110421
473.5928	28.70709	0.135675382
474.1128	28.70552	0.13523187
474.6356	28.70409	0.134827906
475.1746	28.70245	0.134364618
475.7156	28.7009	0.133926755
476.2472	28.69991	0.133647088
476.7805	28.69853	0.133257249
477.3172	28.69715	0.132867409
477.8684	28.69571	0.132460621
478.423	28.69435	0.132076431
478.966	28.69266	0.131599019
479.5122	28.6913	0.13121483
480.0604	28.68994	0.13083064
480.625	28.68855	0.130437976
481.192	28.68732	0.130090511
481.7488	28.68572	0.129638523
482.3083	28.68396	0.129141337
482.8672	28.68226	0.1286611
483.4574	28.68078	0.128243011
484.048	28.6792	0.127796673
484.6147	28.6774	0.127288187
485.1812	28.67575	0.126822075
485.7474	28.67417	0.126375737
486.3277	28.67252	0.125909625
486.9088	28.67059	0.125364415
487.4778	28.66932	0.12500565
488.0472	28.66775	0.124562137
488.6191	28.6662	0.124124274
489.2061	28.66448	0.123638387
489.7944	28.66282	0.12316945
490.3688	28.66088	0.122621415
490.9438	28.65906	0.122107279
491.5228	28.65756	0.121683541
492.1309	28.65582	0.121192004
492.7402	28.65428	0.120756966
493.3211	28.65279	0.120336053
493.9028	28.6512	0.11988689
494.4848	28.64936	0.119367104
495.0672	28.64748	0.118836019
495.6502	28.64576	0.118350132
496.2328	28.64402	0.117858596
496.8178	28.64241	0.117403783
497.402	28.64056	0.116881172
